id,profile,relpath,old_title,new_title,new_filename,duration_s,bpm_pred,bpm_used,key_pred,key_conf,key_used
76,film_scoring,Cinematic Samples (test)\Bass SFX_F(23).wav,Bass SFX_F(23),"Bass SFX_F(23), --, [LOOP] - 148BPM, Fm, cinematic/tense","Bass SFX_F(23), --, [LOOP] - 148BPM, Fm, cinematic-tense.wav",5.782721088435374,147.65625,148,Fm,4.007812624593486,Fm
77,film_scoring,Cinematic Samples (test)\Bass SFX_F(28).wav,Bass SFX_F(28),"Bass SFX_F(28), --, [LOOP] - 152BPM, Fm, cinematic/tense","Bass SFX_F(28), --, [LOOP] - 152BPM, Fm, cinematic-tense.wav",5.73204081632653,151.99908088235293,152,Fm,4.199042745059645,Fm
78,film_scoring,Cinematic Samples (test)\Bass SFX_F(30).wav,Bass SFX_F(30),"Bass SFX_F(30), --, [LOOP] - 133BPM, D#m, cinematic/tense","Bass SFX_F(30), --, [LOOP] - 133BPM, D#m, cinematic-tense.wav",2.929659863945578,132.51201923076923,133,D#m,3.9048169785623856,D#m
79,film_scoring,Cinematic Samples (test)\Bass SFX_F(37).wav,Bass SFX_F(37),"Bass SFX_F(37), --, [LOOP] - 123BPM, F#m, cinematic/tense","Bass SFX_F(37), --, [LOOP] - 123BPM, F#m, cinematic-tense.wav",8.003015873015872,123.046875,123,F#m,4.049655296309543,F#m
80,film_scoring,Cinematic Samples (test)\Bass SFX_F(19).wav,Bass SFX_F(19),"Bass SFX_F(19), --, [LOOP] - 115BPM, F#m, cinematic/tense","Bass SFX_F(19), --, [LOOP] - 115BPM, F#m, cinematic-tense.wav",2.639795918367347,114.84375,115,F#m,3.8164133800616207,F#m
81,film_scoring,Cinematic Samples (test)\Bass SFX_F(21).wav,Bass SFX_F(21),"Bass SFX_F(21), --, [LOOP] - 88BPM, Fm, cinematic/tense","Bass SFX_F(21), --, [LOOP] - 88BPM, Fm, cinematic-tense.wav",3.563764172335601,87.5926906779661,88,Fm,4.078600745778651,Fm
82,film_scoring,Cinematic Samples (test)\Digital TV Glitch 1.mp3,Digital TV Glitch 1,"Digital TV Glitch 1, --, [FX] - 103BPM, Cm, cinematic/tense","Digital TV Glitch 1, --, [FX] - 103BPM, Cm, cinematic-tense.mp3",1.2066666666666668,103.359375,103,Cm,3.785789687321814,Cm
83,film_scoring,Cinematic Samples (test)\Digital TV Glitch 2.mp3,Digital TV Glitch 2,"Digital TV Glitch 2, --, [FX] - 123BPM, F#m, cinematic/tense","Digital TV Glitch 2, --, [FX] - 123BPM, F#m, cinematic-tense.mp3",1.2066666666666668,123.046875,123,F#m,3.7795111572267475,F#m
84,film_scoring,Cinematic Samples (test)\Digital TV Glitch 3.mp3,Digital TV Glitch 3,"Digital TV Glitch 3, --, [FX] - 215BPM, D#m, cinematic/tense","Digital TV Glitch 3, --, [FX] - 215BPM, D#m, cinematic-tense.mp3",1.2066666666666668,215.33203125,215,D#m,3.7869612040891742,D#m
85,film_scoring,Cinematic Samples (test)\Digital TV Glitch 4.mp3,Digital TV Glitch 4,"Digital TV Glitch 4, --, [FX] - 157BPM, Em, cinematic/tense","Digital TV Glitch 4, --, [FX] - 157BPM, Em, cinematic-tense.mp3",1.2066666666666668,156.60511363636363,157,Em,3.817459273993197,Em
86,film_scoring,Cinematic Samples (test)\Elementing Glitch 1.mp3,Elementing Glitch 1,"Elementing Glitch 1, --, [FX] - 112BPM, A#m, cinematic/tense","Elementing Glitch 1, --, [FX] - 112BPM, A#m, cinematic-tense.mp3",1.2066666666666668,112.34714673913044,112,A#m,3.775062891670829,A#m
87,film_scoring,Cinematic Samples (test)\Elementing Glitch 2.mp3,Elementing Glitch 2,"Elementing Glitch 2, --, [FX] - 144BPM, Cm, cinematic/tense","Elementing Glitch 2, --, [FX] - 144BPM, Cm, cinematic-tense.mp3",1.2066666666666668,143.5546875,144,Cm,3.781014962793371,Cm
88,film_scoring,Cinematic Samples (test)\Fast Glitch 1.mp3,Fast Glitch 1,"Fast Glitch 1, --, [FX] - 235BPM, C#m, cinematic/tense","Fast Glitch 1, --, [FX] - 235BPM, C#m, cinematic-tense.mp3",1.2066666666666668,234.90767045454547,235,C#m,3.892905136850048,C#m
89,film_scoring,Cinematic Samples (test)\Fast Glitch 2.mp3,Fast Glitch 2,"Fast Glitch 2, --, [FX] - 304BPM, C#m, cinematic/tense","Fast Glitch 2, --, [FX] - 304BPM, C#m, cinematic-tense.mp3",1.2066666666666668,303.99816176470586,304,C#m,3.894821484801189,C#m
90,film_scoring,Cinematic Samples (test)\Fast Glitch 3.mp3,Fast Glitch 3,"Fast Glitch 3, --, [FX] - 207BPM, Am, cinematic/tense","Fast Glitch 3, --, [FX] - 207BPM, Am, cinematic-tense.mp3",0.8226666666666667,206.71875,207,Am,3.7440980399717234,Am
91,film_scoring,Cinematic Samples (test)\Fast Glitch 4.mp3,Fast Glitch 4,"Fast Glitch 4, --, [FX] - 178BPM, F#m, cinematic/tense","Fast Glitch 4, --, [FX] - 178BPM, F#m, cinematic-tense.mp3",1.0386666666666666,178.20581896551724,178,F#m,3.890912313864265,F#m
92,film_scoring,Cinematic Samples (test)\No Signal Glitch 1.mp3,No Signal Glitch 1,"No Signal Glitch 1, --, [FX] - 115BPM, Cm, cinematic/tense","No Signal Glitch 1, --, [FX] - 115BPM, Cm, cinematic-tense.mp3",1.2066666666666668,114.84375,115,Cm,3.8505378701048114,Cm
93,film_scoring,Cinematic Samples (test)\No Signal Glitch 2.mp3,No Signal Glitch 2,"No Signal Glitch 2, --, [FX] - 235BPM, C#m, cinematic/tense","No Signal Glitch 2, --, [FX] - 235BPM, C#m, cinematic-tense.mp3",1.2066666666666668,234.90767045454547,235,C#m,3.879882766973537,C#m
